rank	domain	rank_bucket	https_url	dns_success	main_commit_success	main_http_status	main_commit_latency_ms	domcontentloaded	domcontentloaded_latency_ms	subresource_failed_count	warning_count	policy_exclusion_reason	hard_failure_reason	reachable	audit_timestamp
1043	samsungcloudsolution.net	rank_1001_100000	https://samsungcloudsolution.net/	False	False	0	0	False	0	0	0		dns_failure:gaierror	False	2026-08-28T08:15:37Z
1044	dnse2.com	rank_1001_100000	https://dnse2.com/	False	False	0	0	False	0	0	0		dns_failure:gaierror	False	2026-08-28T08:15:37Z
1045	bidmachine.io	rank_1001_100000	https://bidmachine.io/	True	True	200	4966	True	7392	4	1			True	2026-08-28T08:15:37Z
1046	amemv.com	rank_1001_100000	https://amemv.com/	True	True	200	970	True	1212	0	0	captcha_blocking		False	2026-08-28T08:15:37Z
1047	verify.hn	rank_1001_100000	https://verify.hn/	True	True	200	21882	True	21883	1	1			True	2026-08-28T08:15:37Z
1048	bytefcdn-ttpus.com	rank_1001_100000	https://bytefcdn-ttpus.com/	False	False	0	0	False	0	0	0		dns_failure:gaierror	False	2026-08-28T08:15:37Z
1049	app-analytics-services-att.com	rank_1001_100000	https://app-analytics-services-att.com/	True	False	404	254	False	0	0	0		RuntimeError:unacceptable_main_http_status:404	False	2026-08-28T08:16:09Z
1050	tiktokrow-cdn.com	rank_1001_100000	https://tiktokrow-cdn.com/	False	False	0	0	False	0	0	0		dns_failure:gaierror	False	2026-08-28T08:16:09Z
1051	redfin.com	rank_1001_100000	https://redfin.com/	True	False	429	1858	False	0	0	0		RuntimeError:unacceptable_main_http_status:429	False	2026-08-28T08:16:09Z
1052	poki.com	rank_1001_100000	https://poki.com/	True	True	200	2162	True	2710	5	1			True	2026-08-28T08:16:09Z
1053	skroutz.gr	rank_1001_100000	https://skroutz.gr/	True	False	403	2371	False	0	0	0		RuntimeError:unacceptable_main_http_status:403	False	2026-08-28T08:16:09Z
1054	netcraze.io	rank_1001_100000	https://netcraze.io/	True	True	200	1322	False	0	0	1			True	2026-08-28T08:16:09Z
