rank	domain	rank_bucket	https_url	dns_success	main_commit_success	main_http_status	main_commit_latency_ms	domcontentloaded	domcontentloaded_latency_ms	subresource_failed_count	warning_count	policy_exclusion_reason	hard_failure_reason	reachable	audit_timestamp
100049	hqu.edu.cn	rank_100001_1000000	https://hqu.edu.cn/	True	True	200	284	True	795	0	0			True	2026-08-28T08:51:48Z
100050	projectzomboid.com	rank_100001_1000000	https://projectzomboid.com/	True	True	200	1265	True	5300	0	0			True	2026-08-28T08:51:48Z
100051	hro.nl	rank_100001_1000000	https://hro.nl/	True	True	200	2079	False	0	0	1			True	2026-08-28T08:51:48Z
100052	tredz.co.uk	rank_100001_1000000	https://tredz.co.uk/	True	False	403	3107	False	0	0	0		RuntimeError:unacceptable_main_http_status:403	False	2026-08-28T08:51:48Z
100053	justthegays.com	rank_100001_1000000	https://justthegays.com/	True	False	0	0	False	0	0	0		"Error:Page.goto: net::ERR_CONNECTION_RESET at https://justthegays.com/
Call log:
  - navigating to ""https://justthegays.com/"", waiting until ""commit""
"	False	2026-08-28T08:51:48Z
100054	ion-as.net	rank_100001_1000000	https://ion-as.net/	False	False	0	0	False	0	0	0		dns_failure:gaierror	False	2026-08-28T08:51:48Z
100055	hoobly.com	rank_100001_1000000	https://hoobly.com/	True	False	403	1683	False	0	0	0		RuntimeError:unacceptable_main_http_status:403	False	2026-08-28T08:51:48Z
100056	meeshogcp.in	rank_100001_1000000	https://meeshogcp.in/	False	False	0	0	False	0	0	0		dns_failure:gaierror	False	2026-08-28T08:51:48Z
100057	xinpianchang.com	rank_100001_1000000	https://xinpianchang.com/	True	False	403	288	False	0	0	0		RuntimeError:unacceptable_main_http_status:403	False	2026-08-28T08:52:01Z
100058	frankwatching.com	rank_100001_1000000	https://frankwatching.com/	True	False	403	1255	False	0	0	0		RuntimeError:unacceptable_main_http_status:403	False	2026-08-28T08:52:01Z
100059	synonyms.com	rank_100001_1000000	https://synonyms.com/	True	True	202	1344	True	4246	0	0			True	2026-08-28T08:52:01Z
100060	longwood.edu	rank_100001_1000000	https://longwood.edu/	True	False	0	0	False	0	0	0		"Error:Page.goto: net::ERR_CERT_DATE_INVALID at https://longwood.edu/
Call log:
  - navigating to ""https://longwood.edu/"", waiting until ""commit""
"	False	2026-08-28T08:52:01Z
100061	visionspecialists.org	rank_100001_1000000	https://visionspecialists.org/	True	True	200	2142	False	0	0	1			True	2026-08-28T08:52:01Z
100062	connexus.com	rank_100001_1000000	https://connexus.com/	True	True	200	3286	False	0	0	1			True	2026-08-28T08:52:01Z
100063	american-webmasters.net	rank_100001_1000000	https://american-webmasters.net/	True	False	0	0	False	0	0	0		"Error:Page.goto: net::ERR_CONNECTION_REFUSED at https://american-webmasters.net/
Call log:
  - navigating to ""https://american-webmasters.net/"", waiting until ""commit""
"	False	2026-08-28T08:52:01Z
100064	ss-iptv.com	rank_100001_1000000	https://ss-iptv.com/	True	True	200	1471	False	0	0	1			True	2026-08-28T08:52:01Z
100065	credify.tech	rank_100001_1000000	https://credify.tech/	True	True	200	4297	True	6397	0	0			True	2026-08-28T08:52:23Z
100066	citicbank.com	rank_100001_1000000	https://citicbank.com/	False	False	0	0	False	0	0	0		dns_failure:gaierror	False	2026-08-28T08:52:23Z
100067	safaribookings.com	rank_100001_1000000	https://safaribookings.com/	True	True	200	4911	True	6476	4	1			True	2026-08-28T08:52:23Z
100068	uksh.de	rank_100001_1000000	https://uksh.de/	True	True	200	3688	True	11925	0	0			True	2026-08-28T08:52:23Z
100069	spunmidia.tech	rank_100001_1000000	https://spunmidia.tech/	False	False	0	0	False	0	0	0		dns_failure:gaierror	False	2026-08-28T08:52:23Z
100070	cccbr.org.uk	rank_100001_1000000	https://cccbr.org.uk/	True	True	200	3839	False	0	0	1			True	2026-08-28T08:52:23Z
100071	clip.mx	rank_100001_1000000	https://clip.mx/	True	True	200	2615	False	0	0	1			True	2026-08-28T08:52:23Z
100072	ojtlnsa.com	rank_100001_1000000	https://ojtlnsa.com/	True	False	404	2427	False	0	0	0		RuntimeError:unacceptable_main_http_status:404	False	2026-08-28T08:52:23Z
100073	tooltigers.com	rank_100001_1000000	https://tooltigers.com/	False	False	0	0	False	0	0	0		dns_failure:gaierror	False	2026-08-28T08:52:39Z
100074	paze.com	rank_100001_1000000	https://paze.com/	True	False	403	917	False	0	0	0		RuntimeError:unacceptable_main_http_status:403	False	2026-08-28T08:52:39Z
100075	bad.org.uk	rank_100001_1000000	https://bad.org.uk/	True	True	200	1150	True	6449	1	1			True	2026-08-28T08:52:39Z
