rank	domain	bucket	navigation_pass_count	navigation_fail_count	evaluate_pass_count	evaluate_timeout_count	action_pass_count	action_timeout_count	http429_count	renderer_unresponsive_count	final_actionability_status	failure_reason
267	duckdns.org	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
269	alidns.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
273	springer.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
276	forter.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
278	tinyurl.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
279	amplitude.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
280	nature.com	top_1_1000	2	1	2	0	2	0	0	0	ACTIONABILITY_UNSTABLE	navigation_pass=2/3;evaluate_pass=2/3;action_pass=2/3
281	oxylabs.io	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
283	weibo.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
286	mozilla.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
287	hp.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
290	www.gov.uk	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
291	harvard.edu	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
292	debian.org	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
294	inmobi.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
300	weather.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
301	alibaba.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
302	dnsmadeeasy.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
303	mzstatic.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
305	avast.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
306	php.net	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
310	samsungcloud.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
312	appsflyer.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
314	triplinkintl.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
321	datadoghq.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
325	amazon.co.uk	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
327	launchdarkly.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
329	name.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
330	aliyun.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
333	smartadserver.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
338	bilibili.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
339	cdc.gov	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
341	doubleverify.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
345	naver.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
351	att.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
352	slack.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
357	opendns.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
359	media.net	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
362	google.cn	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
363	stanford.edu	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
365	onelink.me	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
366	walmart.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
367	calendly.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
368	nvidia.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
369	quickconnect.to	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
370	mi.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
373	zendesk.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
376	ip-api.com	top_1_1000	2	1	2	0	2	0	0	0	ACTIONABILITY_UNSTABLE	navigation_pass=2/3;evaluate_pass=2/3;action_pass=2/3
377	plesk.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
379	amazon.de	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
382	selectel.ru	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
383	newrelic.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
384	ezvizlife.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
386	live-video.net	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
387	amazontrust.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
389	tp-link.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
391	nasa.gov	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
392	yandex.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
399	163.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
400	dropcatch.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
401	vivoglobal.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
402	aliexpress.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
407	netangels.ru	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
409	casalemedia.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
418	huawei.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
422	amazonalexa.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
424	brave.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
425	temu.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
430	expireddomains.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
433	espn.com	top_1_1000	1	2	1	0	1	0	0	0	ACTIONABILITY_UNSTABLE	navigation_pass=1/3;evaluate_pass=1/3;action_pass=1/3
437	claude.ai	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
441	wp.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
442	intel.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
444	ipinfo.io	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
446	sohu.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
447	paloaltonetworks.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
450	yahoo.co.jp	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
452	go.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
453	cloudns.net	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
455	sina.com.cn	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
456	speedtest.net	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
459	cnbc.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
461	skyhigh.cloud	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
462	mikrotik.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
464	statista.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
470	ietf.org	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
474	arxiv.org	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
478	addtoany.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
479	ivi.ru	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
485	adriver.ru	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
487	npr.org	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
490	mysql.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
491	eventbrite.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
498	aol.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
505	atlassian.net	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
506	amzn.to	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
507	mediatek.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
512	supercell.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
517	gosuslugi.ru	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
521	vkontakte.ru	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
525	dynatrace.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
526	firefox.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
530	visualstudio.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
536	amazon.co.za	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
537	okta.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
540	jquery.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
541	capcut.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
545	squarespace.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
546	cloudflareinsights.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
554	fast.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
556	tplinkcloud.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
557	noaa.gov	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
558	cookielaw.org	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
560	palmplaystore.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
561	cornell.edu	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
566	360yield.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
570	eset.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
571	icloud-content.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
573	aboutads.info	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
575	uol.com.br	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
576	teamviewer.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
578	grammarly.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
579	dreamhost.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
580	shopee.com.br	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
582	target.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
587	3lift.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
589	ca.gov	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
590	ieee.org	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
591	hotjar.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
594	playstation.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
596	pushy.io	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
598	digitalocean.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
601	wix.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
603	imgsmail.ru	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
606	klaviyo.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
609	amazon.fr	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
612	surveymonkey.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
613	onetrust.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
614	unesco.org	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
615	anthropic.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
616	webempresa.eu	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
617	nintendo.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
618	atlassian.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
619	uk.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
621	jotform.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
623	ikea.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
624	sagepub.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
625	free.fr	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
627	sharethrough.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
628	360.cn	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
629	cdnvideo.ru	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
631	braze.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
632	techcrunch.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
634	dyndns.org	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
638	amazon.ca	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
640	branch.io	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
641	ovh.net	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
648	redhat.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
652	service.gov.uk	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
655	nike.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
656	stackadapt.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
657	amazon.in	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
664	intercom.io	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
665	cbsnews.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
668	outbrain.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
669	fontawesome.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
671	primevideo.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
674	meta.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
676	cnet.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
678	optimizely.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
683	dotomi.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
684	bitrix24.ru	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
685	mega.co.nz	top_1_1000	3	0	0	3	0	0	0	3	ACTIONABILITY_UNSTABLE	evaluate_pass=0/3;action_pass=0/3;evaluate_timeout=3;renderer_unresponsive=3
688	hihonorcloud.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
689	mobolize.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
692	linode.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
698	mailchimp.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
701	globalsign.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
702	kick.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
703	fifa.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
704	consultant.ru	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
707	ya.ru	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
710	amazon.it	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
711	wps.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
716	parklogic.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
720	alrosa.ru	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
723	magnit.ru	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
724	seznam.cz	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
726	amazon.es	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
733	abovedomains.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
736	cursor.sh	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
737	ring.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
739	wpguardian.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
740	asus.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
741	shopee.co.id	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
